,Company,Level,Location,Salary,Title
2,        GENESYS IMPACT LLC,mid_level,"Washington, DC",60000,Management Analyst
3,        St. Michael's Inc.,mid_level,"Washington, DC 20005 (Logan Circle area)",60000,DLA EDT Enterprise Data Analyst
4,        Kalibri Labs,mid_level,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",60000,Client Data Analyst- Hotel
5,        Exelon Corporation,mid_level,"Woodlawn, MD",60000,Business Analyst
6,        9th Way Solutions,mid_level,"Springfield, VA",60000,Data Scientist (Junior Level)
7,Data Trust,mid_level,"Washington, DC 20007 (Georgetown area)",60000,Political Data Service Analyst
8,        9th Way Solutions,mid_level,"Washington, DC",60000,Research Analyst (Junior Level)
9,        CACI,mid_level,"Falls Church, VA 22041",60000,"Data Analyst-Washington, DC"
10,"        Take2 Consulting, LLC",mid_level,"Washington, DC 20001 (Shaw area)",60000,Project Analyst
11,        Halfaker and Associates,mid_level,"Washington, DC",60000,Junior Data Analyst
12,        Wisdom Group,mid_level,"Arlington, VA 22203 (Bluemont area)",60000,Data Analyst
13,"        US News & World Report ,L.P.",mid_level,"Upper Marlboro, MD",60000,Data Analyst
14,        9th Way Solutions,mid_level,"Washington, DC 20007 (Georgetown area)",60000,Research Analyst (Mid-Level)
15,        Northrop Grumman,mid_level,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",60000,"Data Insight Analyst, People Analytics"
16,        AARP,mid_level,"Washington, DC 20037 (Foggy Bottom area)",60000,Operations Analyst
17,        National Geographic Society,mid_level,"Washington, DC 20044 (Downtown area)",60000,"Analyst, Digital Analytics"
18,"        Strategic Analysis, Inc.",mid_level,"Washington, DC",60000,Project Analyst
19,        Prince George's County Public Schools,mid_level,"Woodlawn, MD",60000,Management Analyst
20,        CleanChoice Energy,mid_level,"Washington, DC",60000,Data Analyst
21,"        DevTech Systems, Inc.",mid_level,"Washington, DC",60000,Data Curation Specialist/ Analyst
22,        The George Washington University Hospital,mid_level,"Washington, DC 20036 (Downtown area)",60000,DATA ANALYST/SPECIALIST - Admitting (Full Time)
23,        AECOM,mid_level,"Tysons, VA",60000,Data Systems Analyst
24,        9th Way Solutions,mid_level,"Washington, DC",60000,IT Analyst (Junior Level)
25,        Halfaker and Associates,mid_level,"Alexandria, VA",60000,Data Analyst
26,        9th Way Solutions,mid_level,"Washington, DC",60000,Data Scientist (Mid-Level)
27,        American Institutes for Research,mid_level,"Washington, DC 20006 (Foggy Bottom area)",60000,Data Reporting Analyst
28,        Virtual Enterprise Architects,mid_level,"Washington, DC 20001 (Shaw area)",60000,Data Analyst
29,        Alarm.com,mid_level,"Washington, DC 20036 (Downtown area)",60000,Data Analyst
30,        American Institutes for Research,mid_level,"Washington, DC",60000,Data Reporting Analyst - Online Reporting System
31,        InnovaSystems International,mid_level,"Clinton, MD 20735",60000,Data Analyst I
32,        Curve IT Consulting,mid_level,"Rosslyn, VA",60000,Data Analyst
33,        M Powered Strategies,mid_level,"Arlington, VA 22202 (Aurora Highlands area)",60000,Junior Business Analyst
34,        GENESYS IMPACT LLC,mid_level,"Washington, DC",60000,Management Analyst
35,        Delve,mid_level,"Washington, DC",60000,Research Analyst
36,        The HSC Health Care System,mid_level,"Washington, DC",60000,Junior Data Developer Analyst
37,        Piper Companies,mid_level,"Largo, MD",60000,Data Analyst
38,        Mount Airey Group,mid_level,"Washington, DC",60000,Data Analyst
39,        DURAMTECH,mid_level,"Washington, DC",60000,Data Analyst
40,        Premier Management Corporation,mid_level,"Washington, DC 20018 (Brentwood area)",60000,Analyst I (Part Time)
41,"        AnaVation, LLC",mid_level,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",60000,Data Analyst
42,        The Brookings Institution,mid_level,"Washington, DC",60000,"Research Analyst, CUE (Job ID: 2019-1972)"
43,        Prince George's Community College,mid_level,"Falls Church, VA",60000,Research Analyst (Analytics and Reporting)
44,        9th Way Solutions,mid_level,"Rockville, MD",60000,Quality Assurance Analyst (Junior Level)
45,        The Oakleaf Group,mid_level,"Fairfax, VA 22030",60000,Data Analyst
46,        American Medical Response,mid_level,"Germantown, MD",60000,Data Analyst
47,        Govini,mid_level,"Washington, DC 20024 (South West area)",60000,Analyst
48,        IntelliWare Systems,mid_level,"Washington, DC",60000,Junior Management Program Analyst
49,        quantumtechinc,mid_level,"Rockville, MD 20850",60000,Business Analyst
50,        Montgomery County Government,,,,Performance Management and Data Analyst I/II/III (CountyStat...
51,        Fairfax County Government,,,,Program Analyst (Management Analyst III)
52,        Ace Technologies,,,,Data Analyst
53,        Rigil Corporation,,,,Research Analyst
54,        Bennett Aerospace Inc.,,,,Administrative Assistant/Data Analyst III
55,        WESTAT,,,,Research Analyst
0,        Vissat Solutions,senior_level,"Washington, DC",60000,Data Analyst/Data Modeler - US Citizen Clearance Required
1,        Guidehouse,senior_level,"Washington, DC",60000,Data Analyst - Senior Associate
2,        Dantech Corporation,senior_level,"Washington, DC",60000,"Senior Data Architect (576247) // US or GC // DC, MD, or VA..."
3,        9th Way Solutions,senior_level,"Washington, DC",60000,Research Analyst (Senior)
4,        9th Way Solutions,senior_level,"Washington, DC 20560 (South West area)",60000,Quality Assurance Analyst (Senior)
5,        iSolutions,senior_level,"Fort Meade, MD",60000,Senior Data Analyst
6,        9th Way Solutions,senior_level,"Annapolis, MD 21403",60000,Data Scientist (Senior)
7,        The Building People,senior_level,"Washington, DC 20005 (Logan Circle area)",60000,Data Analyst
8,        National Security Agency,senior_level,"Largo, MD",60000,Intelligence Analyst
9,        Anne Arundel Medical Center,senior_level,"Washington, DC",60000,Data Analyst - Senior
10,        Blue State Digital,senior_level,"Arlington, VA",60000,"Senior Analyst, Data Strategy"
11,        ECS Federal LLC,senior_level,"Washington, DC",60000,Business/Data Analyst
12,"        TWCS, LLC",senior_level,"Washington, DC 20250 (South West area)",60000,Counterintelligence Analyst
13,"        CALIBRE Systems, Inc.",senior_level,"Largo, MD",60000,Data Analyst
14,        9th Way Solutions,senior_level,"Washington, DC",60000,IT Analyst (Senior)
15,        Engility,senior_level,"Washington, DC",60000,Senior Data Analyst - Tableau
16,        ECS Federal LLC,senior_level,"Arlington, VA",60000,Data Analyst (Public Trust Clearable)
17,        AE Strategies,senior_level,"Washington, DC",60000,Consultant - Project Analyst
18,        Zeneth Technology Partners,senior_level,"Washington, DC 20004 (Downtown area)",60000,Senior SOC Analyst
19,        Salient CRGT,senior_level,"Washington, DC",60000,Data Scientist 7411
20,        The LDM Group,senior_level,"McLean, VA",60000,Sr. Disaster Recovery Analyst - DC
21,        JP Morgan Chase,senior_level,"Washington, DC 20001 (Shaw area)",60000,JPMorgan Chase Institute- Outreach Senior Analyst
22,        SAIC,senior_level,"Arlington, VA",60000,Senior Data Analyst - Tableau
23,        LHH,senior_level,"Washington, DC 20032 (Anacostia area)",60000,Sr. Business Analyst
24,        Le'fant,senior_level,"Arlington, VA 22203 (Bluemont area)",60000,Senior Strategic Planning Analyst
25,        Vissat Solutions,senior_level,"Washington, DC 20001 (Shaw area)",60000,Data Analyst/Data Modeler - US Citizen Clearance Required
26,        FedWriters,senior_level,"Vienna, VA 22182",60000,FOIA Analyst Level 3
27,        Interos,senior_level,"Washington, DC",60000,Senior Data Analyst
28,        The Building People,senior_level,"Washington, DC",60000,Senior Data Analyst
29,        IT CONCEPTS,senior_level,"Washington, DC",60000,Data Scientist
30,"        Pivotal Insight, LLC",senior_level,"Washington, DC 20024 (South West area)",60000,Senior Quantitative Analyst
31,        E3 Federal,senior_level,"Rockville, MD 20850",60000,Law Enforcement Analyst
32,"        Akima, LLC",senior_level,"Washington, DC 20024 (South West area)",60000,Sr. Data Analyst
33,        Regulus Group,senior_level,"Towson, MD",60000,Benefits/Operations Research Analyst
34,        Kaiser Permanente,senior_level,"Bethesda, MD",60000,"Analyst, Senior Data Reporting & Analytics"
35,        Engility,senior_level,"Washington, DC 20024 (South West area)",60000,Regulatory Analyst – FAA eFAST
36,        MileOne Automotive,senior_level,"McLean, VA 22107",60000,Senior Data Analyst - MileOne Autogroup
37,        Step Ahead Solutions,senior_level,"Washington, DC 20022 (Brentwood area)",60000,SR. DATA ANALYST 8/01/2018
38,"        MELE Associates, Inc.",senior_level,"Washington, DC",60000,Program Analyst
39,        Capital One,senior_level,"Bolling AFB, DC 20032 (Anacostia area)",60000,Senior Data Analyst
40,        American Red Cross,senior_level,"Washington, DC 20024 (South West area)",60000,"Sr. Analyst, Retirement Programs (tele-work opportunity)"
41,        Volaray Capital Partners,senior_level,"Falls Church, VA",60000,Sr. Quantitative Analyst
42,        Spectrum Comm Inc,senior_level,"Woodlawn, MD",60000,Strategic Business Data Analyst
43,        Regulus Group,senior_level,"Washington, DC",60000,Scheduler/Program Control Analyst
44,        GovHire,senior_level,"Baltimore, MD",60000,Senior Data Analyst
45,        Softrams,senior_level,"Washington, DC 20036 (Downtown area)",60000,Sr. Data Analyst
46,"        Radin Consulting, Inc.",senior_level,"Washington, DC 20032 (Anacostia area)",60000,Senior Analyst
47,        T. Rowe Price,senior_level,"Towson, MD 21204",60000,ETF Product Analyst
48,        Grant Thornton,senior_level,"Baltimore, MD 21226 (Glen-Fallstaff area)",60000,Operations Research Data Analyst
49,"        FAR Government, Inc.",senior_level,"Baltimore, MD",60000,Strategic Business Data Analyst
50,        Cotiviti Inc.,,,,Sr Data Analyst
51,        Cherokee Nation Businesses,,,,Data Analyst (Senior IETM Data Analyst) (ID# 13842)
52,        Johns Hopkins University,,,,Sr. Research Data Analyst
53,        CRL Technologies,,,,Senior Program Analyst
54,        National Security Agency,,,,Intelligence Analyst
55,        Interos,,,,Senior Data Analyst
0,        Guidehouse,entry_level,"Washington, DC 20003 (Capitol Hill area)",70000,Data Analyst - Experienced Associate
1,        PCAOB,entry_level,"Washington, DC 20005 (Logan Circle area)",70000,Research Analyst
2,        National Geospatial-Intelligence Agency,entry_level,"Washington, DC",70000,Data Analyst - Pay Band 3
3,"        ShadowObjects, LLC",entry_level,"Alexandria, VA",70000,Acquisition Data Analyst
4,        H&M,entry_level,"Quantico, VA",70000,District Financial and Operations Analyst
5,        Concourse Federal Group,entry_level,"Washington, DC",70000,Revit/AutoCAD/LiDAR Scanning Analyst
6,        Deloitte,entry_level,"Washington, DC",70000,"Analyst, Strategy and Research"
7,Data Trust,entry_level,"Washington, DC 20036 (Downtown area)",70000,Political Data Operations Analyst
8,        Government of the District of Columbia,entry_level,"Washington, DC",70000,Program Analyst
9,        The KWO,entry_level,"Washington, DC 20003 (Capitol Hill area)",70000,Data Curation Analyst
10,        JCTM,entry_level,"Woodlawn, MD",70000,Data Analyst
11,        Government of the District of Columbia,entry_level,"Washington, DC",70000,Investigative Analyst
12,        The Soter Group,entry_level,"Washington, DC",70000,Data Analyst
13,        Uber,entry_level,"Oaks, MD",70000,"Data Analyst II, Strategy & Planning"
14,        Guidehouse,entry_level,"Arlington, VA 22201 (Lyon Village area)",70000,Data Analyst - Associate
15,        Child and Family Services Agency,entry_level,"Washington, DC",70000,Management Analyst
16,        US Department of Health And Human Services,entry_level,"Windsor Mill, MD 21244 (Howard Park area)",70000,Public Health Analyst
17,        Avila Trading,entry_level,"Washington, DC",70000,Data Analayst
18,        Workbridge Associates,entry_level,"Washington, DC",70000,Data Analyst (SQL)
19,        9th Way Solutions,entry_level,"Washington, DC 20005 (Logan Circle area)",70000,Data Analyst
20,        Nathan Associates,entry_level,"Washington, DC 20001 (Shaw area)",70000,Analyst
21,        Central Intelligence Agency,entry_level,"Washington, DC 20003 (Capitol Hill area)",70000,Human Resources Analyst
22,        Vision Technology Services,entry_level,"Washington, DC 20022 (Brentwood area)",70000,Business Analyst
23,        US Department of Health And Human Services,entry_level,"Washington, DC",70000,Program Analyst
24,        US Department of Health And Human Services,entry_level,"Washington, DC",70000,Management Analyst
25,        CACI,entry_level,"Washington, DC 20002 (Capitol Hill area)",70000,Data Analyst Summer Intern
26,        IBM,entry_level,"Arlington, VA 22201 (Lyon Village area)",70000,Digital Change Junior Analyst
27,        Logistics Support Inc,entry_level,"Montgomery County, MD",70000,Jr. Data Analyst (Secret Clearance)
28,        Fannie Mae,entry_level,"Washington, DC",70000,Analyst I - Capital Markets Risk
29,        US Department of Transportation,entry_level,"Thomas Circle, DC",70000,Program Analyst
30,        Facebook,entry_level,"Washington, DC",70000,"Security Analyst Intern, Threat Discovery"
31,        General Dynamics Information Technology,entry_level,"Washington, DC",70000,Data Analyst - Splunk
32,        Inspire,entry_level,"Frederick, MD",70000,Data Analyst
33,        US Department of Health And Human Services,entry_level,"Washington, DC",70000,IRB Analyst
34,        BlueLabs Analytics,entry_level,"Washington, DC",70000,DATA ANALYST
35,        Klik Media,entry_level,"Washington, DC 20006 (Foggy Bottom area)",70000,Digital Marketing Analyst
36,        Facebook,entry_level,"Bethesda, MD",70000,Privacy Risk Analyst
37,        Central Intelligence Agency,entry_level,"Washington, DC 20005 (Logan Circle area)",70000,Data Scientist
38,        API Technologies Corp,entry_level,"Baltimore, MD",70000,Sales & Operational (S&OP) Analyst
39,        Optoro,entry_level,"Arlington, VA",70000,Data Analyst
40,        Booz Allen Hamilton,entry_level,"Washington, DC 20004 (Downtown area)",70000,Business Management Analyst
41,        Ignyte Group,entry_level,"Washington, DC",70000,Business Analyst
42,        JPG Infotech LLC,entry_level,"Washington, DC",70000,Clinical Data Analyst
43,Data Trust,entry_level,"Washington, DC 20036 (Downtown area)",70000,Political Business Intelligence Analyst
44,        Apkudo,entry_level,"Arlington, VA 22202 (Aurora Highlands area)",70000,Data Analyst
45,        Booz Allen Hamilton,entry_level,"Washington, DC",70000,"Data Analyst, Junior"
46,        US Department of Energy,entry_level,"McLean, VA",70000,Operations Research Analyst
47,        U.S. Federal Government,entry_level,"Washington, DC 20036 (Downtown area)",70000,Senior Social Impact Analyst
48,"        Techflow, Inc.",entry_level,"Alexandria, VA 22314 (Southwest Quadrant area)",70000,Data Analyst
49,        Frontier Strategy Group,entry_level,"Baltimore, MD 21201 (Downtown area)",70000,"Client Services Associate, Latin America"
50,        Boulevard Consulting Group,,,,Junior Data Analyst
51,        U.S. Federal Government,,,,Budget Analyst
52,"        IQlogg, Inc",,,,Data Analyst
53,        EAB,,,,"Data Integration Analyst (Full Time, Starting Summer 2019)"
54,        Tios Capital,,,,Junior Quant Analyst
55,        University of Baltimore,,,,Data Analyst (Grant Funded)
0,        Summit Technologies LLC,mid_level,"Washington, DC 20037 (Foggy Bottom area)",70000,Business Analyst
1,        St. Michael's Inc.,mid_level,"Washington, DC",70000,DLA EDT Enterprise Data Analyst
2,        Kratos Defense,mid_level,"Washington, DC",70000,Financial/Budget Analyst
3,        The George Washington University Hospital,mid_level,"Washington, DC 20005 (Logan Circle area)",70000,DATA ANALYST/SPECIALIST - Admitting (Full Time)
4,        9th Way Solutions,mid_level,"Rockville, MD",70000,Data Scientist (Junior Level)
5,        9th Way Solutions,mid_level,"Washington, DC",70000,Research Analyst (Junior Level)
6,        CACI,mid_level,"Upper Marlboro, MD",70000,"Data Analyst-Washington, DC"
7,        Montgomery County Government,mid_level,"Washington, DC",70000,Performance Management and Data Analyst I/II/III (CountyStat...
8,        9th Way Solutions,mid_level,"Washington, DC",70000,Quality Assurance Analyst (Junior Level)
9,        Prince George's County Public Schools,mid_level,"Washington, DC 20001 (Shaw area)",70000,Management Analyst
10,        Curve IT Consulting,mid_level,"Springfield, VA",70000,Data Analyst
11,        9th Way Solutions,mid_level,"Falls Church, VA 22041",70000,IT Analyst (Junior Level)
12,        AARP,mid_level,"Woodlawn, MD",70000,Operations Analyst
13,        Wisdom Group,mid_level,"Washington, DC",70000,Data Analyst
14,        Northrop Grumman,mid_level,"Washington, DC",70000,"Data Insight Analyst, People Analytics"
15,        Halfaker and Associates,mid_level,"Washington, DC 20044 (Downtown area)",70000,Junior Data Analyst
16,        American Institutes for Research,mid_level,"Fairfax, VA 22030",70000,Data Reporting Analyst
17,        The Oakleaf Group,mid_level,"Washington, DC",70000,Data Analyst
18,        AECOM,mid_level,"Washington, DC 20022 (Brentwood area)",70000,Data Systems Analyst
19,        Fairfax County Government,mid_level,"Washington, DC 20036 (Downtown area)",70000,Program Analyst (Management Analyst III)
20,        9th Way Solutions,mid_level,"Washington, DC",70000,Data Scientist (Mid-Level)
21,        Fannie Mae,mid_level,"Washington, DC",70000,Workforce Analytics and Reporting Analyst II - Multiple Open...
22,        Virtual Enterprise Architects,mid_level,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",70000,Data Analyst
23,        9th Way Solutions,mid_level,"Tysons, VA",70000,Quality Assurance Analyst (Mid-Level)
24,        9th Way Solutions,mid_level,"Largo, MD",70000,Research Analyst (Mid-Level)
25,"        DevTech Systems, Inc.",mid_level,"Clinton, MD 20735",70000,Data Curation Specialist/ Analyst
26,        Alarm.com,mid_level,"Woodlawn, MD",70000,Data Analyst
27,        Prince George's Community College,mid_level,"Arlington, VA",70000,Research Analyst (Analytics and Reporting)
28,        Piper Companies,mid_level,"Washington, DC",70000,Data Analyst
29,        Halfaker and Associates,mid_level,"Washington, DC",70000,Data Analyst
30,        Fors Marsh Group,mid_level,"Washington, DC",70000,Data Management Analyst
31,        9th Way Solutions,mid_level,"Washington, DC",70000,IT Analyst (Mid-Level)
32,        The Ambit Group,mid_level,"Laurel, MD 20707",70000,Data Analyst
33,        CTG (Computer Task Group),mid_level,"Alexandria, VA",70000,Junior Project Analyst
34,        Risk Solutions,mid_level,"Rosslyn, VA",70000,Data Analyst - LNSSI
35,        WSSC,mid_level,"Baltimore, MD",70000,Management Analyst
36,        InnovaSystems International,mid_level,"Washington, DC 20037 (Foggy Bottom area)",70000,Data Analyst I
37,        Mount Airey Group,mid_level,"Washington, DC",70000,Data Analyst
38,        T. Rowe Price,mid_level,"Washington, DC",70000,Equity Data Insights Analyst
39,        The Urban Institute,mid_level,"Washington, DC",70000,Research Analyst (Center on Education Data and Policy)
40,        Outreach Process Partners,mid_level,"Washington, DC 20022 (Brentwood area)",70000,Research Data Analyst/Statistician
41,        American Institutes for Research,mid_level,"Gaithersburg, MD 20879",70000,Data Analyst II
42,        The Brookings Institution,mid_level,"Washington, DC",70000,"Research Analyst, CUE (Job ID: 2019-1972)"
43,        Fannie Mae,mid_level,"Fort Meade, MD",70000,Operations Analyst II
44,        Montgomery County Government,mid_level,"Arlington, VA 22202 (Aurora Highlands area)",70000,"Performance Management and Data Analyst, II Grade 25"
45,        Federal Reserve Board of Governors,mid_level,"Washington, DC 20005 (Logan Circle area)",70000,Data Governance Analyst - Office of the Chief Data Officer
46,        National Security Agency,mid_level,"Germantown, MD",70000,Operations Researcher Analyst
47,        DURAMTECH,mid_level,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",70000,Data Analyst
48,        FON Advisors,mid_level,"Washington, DC",70000,Data Analyst
49,        Ace Technologies,mid_level,"Washington, DC 20001 (Shaw area)",70000,Data Analyst
50,"        DevTech Systems, Inc.",,,,Economic Data Analyst
51,        The HSC Health Care System,,,,Junior Data Developer Analyst
52,        General Electric,,,,Data Scientist
53,        DC Housing Authority,,,,Applications Analyst
54,        Exelon Corporation,,,,Business Analyst
55,        The HSC Health Care System,,,,Junior Data Developer Analyst
0,        Guidehouse,senior_level,"Fort Meade, MD",70000,Data Analyst - Senior Associate
1,        Vissat Solutions,senior_level,"Washington, DC",70000,Data Analyst/Data Modeler - US Citizen Clearance Required
2,        Chameleon Integrated Services,senior_level,"Washington, DC 20560 (South West area)",70000,Enterprise Systems Analyst
3,        Interos,senior_level,"Arlington, VA",70000,Senior Data Analyst
4,        National Security Agency,senior_level,"Washington, DC 20005 (Logan Circle area)",70000,Intelligence Analyst
5,        Dantech Corporation,senior_level,"Washington, DC",70000,"Senior Data Architect (576247) // US or GC // DC, MD, or VA..."
6,        CRL Technologies,senior_level,"Arlington, VA 22203 (Bluemont area)",70000,Senior Program Analyst
7,        National Security Agency,senior_level,"Washington, DC",70000,Intelligence Analyst
8,        9th Way Solutions,senior_level,"Washington, DC",70000,Research Analyst (Senior)
9,        The Building People,senior_level,"Falls Church, VA",70000,Data Analyst
10,"        CALIBRE Systems, Inc.",senior_level,"Washington, DC",70000,Data Analyst
11,        Blue State Digital,senior_level,"Washington, DC 20004 (Downtown area)",70000,"Senior Analyst, Data Strategy"
12,        iSolutions,senior_level,"Falls Church, VA 22041",70000,Senior Data Analyst
13,        Interos,senior_level,"McLean, VA 22107",70000,Senior Data Analyst
14,        9th Way Solutions,senior_level,"Rockville, MD 20850",70000,IT Analyst (Senior)
15,        9th Way Solutions,senior_level,"Washington, DC 20024 (South West area)",70000,Data Scientist (Senior)
16,        GovHire,senior_level,"McLean, VA",70000,Senior Data Analyst
17,"        TWCS, LLC",senior_level,"Washington, DC 20001 (Shaw area)",70000,Counterintelligence Analyst
18,        JP Morgan Chase,senior_level,"Washington, DC",70000,JPMorgan Chase Institute- Outreach Senior Analyst
19,        Northrop Grumman,senior_level,"Rosslyn, VA",70000,"Competitive Intelligence Analyst, People Analytics"
20,        Capital One,senior_level,"Washington, DC",70000,Senior Data Analyst
21,        Kaiser Permanente,senior_level,"Largo, MD",70000,"Analyst, Senior Data Reporting & Analytics"
22,"        MELE Associates, Inc.",senior_level,"Washington, DC 20036 (Downtown area)",70000,Program Analyst
23,        LHH,senior_level,"College Park, MD",70000,Sr. Business Analyst
24,        The Building People,senior_level,"Woodlawn, MD",70000,Senior Data Analyst
25,        9th Way Solutions,senior_level,"Washington, DC 20005 (Logan Circle area)",70000,Quality Assurance Analyst (Senior)
26,        AbleVets LLC,senior_level,"Bethesda, MD",70000,"Requirements Analyst, Sr."
27,        AE Strategies,senior_level,"Largo, MD",70000,Consultant - Project Analyst
28,        ECS Federal LLC,senior_level,"Bethesda, MD",70000,Data Analyst (Public Trust Clearable)
29,        Grant Thornton,senior_level,"Arlington, VA",70000,Operations Research Data Analyst
30,        Optimal Solutions Group,senior_level,"Washington, DC 20001 (Shaw area)",70000,Data Scientist 1
31,        Halfaker and Associates,senior_level,"McLean, VA 22102",70000,Senior Data Analyst
32,        Blue State Digital,senior_level,"Arlington, VA",70000,Senior Analyst
33,"        Aledade, Inc.",senior_level,"Washington, DC 20005 (Logan Circle area)",70000,Data Analyst / Senior Data Analyst
34,        ECS Federal LLC,senior_level,"Arlington, VA",70000,Business/Data Analyst
35,        Step Ahead Solutions,senior_level,"Andrews AFB, MD",70000,SR. DATA ANALYST 8/01/2018
36,        Booz Allen Hamilton,senior_level,"Washington, DC",70000,Networks Requirements Analyst
37,        Le'fant,senior_level,"Washington, DC",70000,Senior Strategic Planning Analyst
38,        Freddie Mac,senior_level,"Arlington, VA",70000,Data Analyst Senior
